"player_name","year","avg_runs_per_match","avg_strike_rate"
"Ambati Rayudu","2020","35.50","74.00"
"Ambati Rayudu","2021","34.50","127.50"
"Boult","2020","0.00","0.00"
"Bumrah","2020","5.00","167.00"
"Chahal","2021","0.00","0.00"
"Chakravarthy","2021","1.00","100.00"
"Chris Jordan","2020","0.00","0.00"
"Chris Morris","2021","2.00","40.00"
"Cottrell","2020","0.00","0.00"
"Cummins","2021","17.00","189.00"
"de Kock","2020","33.00","165.00"
"de Villiers","2021","39.00","108.00"
"Deepak Chahar","2021","0.00","0.00"
"Deepak Chahar","2020","0.00","0.00"
"Devdutt Padikkal","2021","22.00","105.00"
"Dwayne Bravo","2021","0.00","0.00"
"Dwayne Bravo","2020","0.00","0.00"
"Faf du Plessis","2021","21.00","181.00"
"Faf du Plessis","2020","72.33","163.67"
"Finch","2021","15.00","136.00"
"Gurkeerat Singh","2021","2.00","100.00"
"Hardik Pandya","2020","14.00","140.00"
"Harpreet Brar","2020","0.00","0.00"
"Imran Tahir","2021","0.00","0.00"
"Jaiswal","2020","6.00","100.00"
"James Pattinson","2020","11.00","138.00"
"Jofra Archer","2020","27.00","338.00"
"K Nagarkoti","2021","0.00","0.00"
"Karn Sharma","2021","0.00","0.00"
"Karthik","2021","12.00","109.00"
"Kedar Jadhav","2021","7.00","58.00"
"Kedar Jadhav","2020","7.33","46.00"
"Kohli","2021","50.00","116.00"
"Krunal Pandya","2020","3.00","100.00"
"Lungi Ngidi","2020","0.00","0.00"
"Mandeep","2020","27.00","169.00"
"Maxwell","2020","11.00","157.00"
"Mayank Agarwal","2020","26.00","137.00"
"Miller","2020","0.00","0.00"
"Mitchell Santner","2021","0.00","0.00"
"Moeen","2021","1.00","50.00"
"Monu Kumar","2021","0.00","0.00"
"Morgan","2021","7.00","70.00"
"MS Dhoni","2020","9.67","57.00"
"MS Dhoni","2021","15.00","91.00"
"Murali Vijay","2020","11.00","57.00"
"N Jagadeesan","2021","0.00","0.00"
"Narine","2021","17.00","189.00"
"Navdeep Saini","2021","0.00","0.00"
"Nitish Rana","2021","9.00","90.00"
"Piyush Chawla","2020","0.00","0.00"
"Pollard","2020","18.00","129.00"
"Pooran","2020","33.00","194.00"
"Rahul","2020","63.00","121.00"
"Rahul Chahar","2020","2.00","50.00"
"Rahul Tewatia","2020","10.00","125.00"
"Ravi Bishnoi","2020","0.00","0.00"
"Ravindra Jadeja","2021","10.50","131.00"
"Ravindra Jadeja","2020","3.67","83.33"
"Riyan Parag","2020","6.00","150.00"
"Rohit","2020","12.00","120.00"
"Russell","2021","2.00","50.00"
"Ruturaj Gaikwad","2020","0.00","0.00"
"Ruturaj Gaikwad","2021","65.00","127.00"
"Sam Curran","2020","11.67","194.33"
"Sam Curran","2021","8.50","77.50"
"Samson","2020","74.00","231.00"
"Sarfaraz Khan","2020","14.00","156.00"
"Saurabh Tiwary","2020","42.00","135.00"
"Shami","2020","0.00","0.00"
"Shane Watson","2021","50.00","125.00"
"Shane Watson","2020","40.00","131.33"
"Shardul Thakur","2020","0.00","0.00"
"Shardul Thakur","2021","0.00","0.00"
"Shivam Mavi","2021","0.00","0.00"
"Shreyas Gopal","2020","0.00","0.00"
"Shubman Gill","2021","11.00","92.00"
"Siraj","2021","0.00","0.00"
"Steven Smith","2020","69.00","147.00"
"Suryakumar Yadav","2020","17.00","106.00"
"Tom Curran","2020","10.00","111.00"
"Tripathi","2021","81.00","159.00"
"Unadkat","2020","0.00","0.00"
"Uthappa","2020","5.00","56.00"
"Washington Sundar","2021","5.00","250.00"
