"id","balls","runs","fours","sixes","strkrate","name","nickname","iscaptain","iskeeper","outdec","videotype","videourl","videoid","planid","imageid","premiumvideourl","iscbplusfree","ispremiumfree","inmatchchange","isoverseas","playingxichange","matchid"
"8271","42","89","8","7","211.9","Sanju Samson","Sanju Samson",False,True,"c Phil Salt b Will Jacks","","","0","0","0","",False,False,"",False,"","139478"
"12086","7","9","2","0","128.57","Abhishek Sharma","Abhishek Sharma",False,False,"c Phil Salt b Will Jacks","","","0","0","0","",False,False,"",False,"","139478"
"10276","18","39","4","2","216.67","Ishan Kishan","Ishan Kishan",False,False,"c Will Jacks b Adil Rashid","","","0","0","0","",False,False,"",False,"","139478"
"11195","25","43","1","4","172","Shivam Dube","Shivam Dube",False,False,"run out (Harry Brook)","","","0","0","0","",False,False,"",False,"","139478"
"7915","6","11","0","1","183.33","Suryakumar Yadav","Suryakumar Yadav",True,False,"st Jos Buttler b Adil Rashid","","","0","0","0","",False,False,"",False,"","139478"
"9647","12","27","3","2","225","Hardik Pandya","Hardik Pandya",False,False,"run out (Jacob Bethell/Jos Buttler)","","","0","0","0","",False,False,"",False,"","139478"
"14504","7","21","0","3","300","Tilak Varma","Tilak Varma",False,False,"b Jofra Archer","","","0","0","0","",False,False,"",False,"","139478"
"8808","2","2","0","0","100","Axar Patel","Axar Patel",False,False,"not out","","","0","0","0","",False,False,"",False,"","139478"
"12926","1","0","0","0","0","Varun Chakaravarthy","Varun Chakaravarthy",False,False,"not out","","","0","0","0","",False,False,"",False,"","139478"
"13217","0","0","0","0","0","Arshdeep Singh","Arshdeep Singh",False,False,"","","","0","0","0","",False,False,"",False,"","139478"
"9311","0","0","0","0","0","Jasprit Bumrah","Jasprit Bumrah",False,False,"","","","0","0","0","",False,False,"",False,"","139478"
"10479","3","5","1","0","166.67","Philip Salt","Phil Salt",False,False,"c Axar Patel b Hardik Pandya","","","0","0","0","",False,False,"",False,"","139478"
"2258","17","25","4","1","147.06","Jos Buttler","Jos Buttler",False,True,"b Varun Chakaravarthy","","","0","0","0","",False,False,"",False,"","139478"
